Item Title,abstract,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Normalized particle swarm optimization for complex chooser option pricing on graphics processing unit,,The Journal of Supercomputing,,66.0,1,10.1007/s11227-013-0893-z,Bhanu SharmaRuppa K. ThulasiramParimala Thulasiraman,2013,http://link.springer.com/article/10.1007/s11227-013-0893-z,Article
Improving conformance checking in process modelling: a multiperspective algorithm,,The Journal of Supercomputing,,79.0,16,10.1007/s11227-023-05315-y,Rui CalhenoPaulo CarvalhoSolange Rito LimaPedro Rangel HenriquesMateo Ramos Merino,2023,http://link.springer.com/article/10.1007/s11227-023-05315-y,Article
Backward Inference in Bayesian Networks for Distributed Systems Management,,Journal of Network and Systems Management,,13.0,4,10.1007/s10922-005-9003-8,Jianguo DingBernd KrämerYingcai BaiHansheng Chen,2005,http://link.springer.com/article/10.1007/s10922-005-9003-8,Article
The specification of “specification”,,Minds and Machines,,5.0,2,10.1007/BF00974746,Derek PartridgeAntony Galton,1995,http://link.springer.com/article/10.1007/BF00974746,Article
A perspective on symbolic mathematical computing and artificial intelligence,,Annals of Mathematics and Artificial Intelligence,,19.0,4-Mar,10.1023/A:1018920108903,J. CalmetJ.A. Campbell,1997,http://link.springer.com/article/10.1023/A%3A1018920108903,Article
State-of-art approaches for review spammer detection: a survey,,Journal of Intelligent Information Systems,,50.0,2,10.1007/s10844-017-0454-7,Rupesh Kumar DewangAnil Kumar Singh,2018,http://link.springer.com/article/10.1007/s10844-017-0454-7,Article
"Imitation games: Turing, Menard, Van Meegeren",,Ethics and Information Technology,,5.0,1,10.1023/A:1024980304304,Brian P. BloomfieldTheo Vurdubakis,2003,http://link.springer.com/article/10.1023/A%3A1024980304304,Article
Riding Out the Storm: How to Deal with the Complexity of Grid and Cloud Management,,Journal of Grid Computing,,10.0,3,10.1007/s10723-012-9225-4,Jesús MontesAlberto SánchezMaría S. Pérez,2012,http://link.springer.com/article/10.1007/s10723-012-9225-4,Article
Improving on Linear Scan Register Allocation,,International Journal of Automation and Computing,,15.0,2,10.1007/s11633-017-1100-0,Shahrzad KananizadehKirill Kononenko,2018,http://link.springer.com/article/10.1007/s11633-017-1100-0,Article
Scheduling Task Parallel Applications for Rapid Turnaround on Enterprise Desktop Grids,,Journal of Grid Computing,,5.0,4,10.1007/s10723-007-9063-y,Derrick KondoAndrew A. ChienHenri Casanova,2007,http://link.springer.com/article/10.1007/s10723-007-9063-y,Article
Remote Method Delegation: a Platform for Grid Computing,,Journal of Grid Computing,,18.0,4,10.1007/s10723-020-09525-z,Bradley WoodBrock WatlingZachary WinnDaniel MessihaQusay H. MahmoudAkramul Azim,2020,http://link.springer.com/article/10.1007/s10723-020-09525-z,Article
Using quantitative models to search for appropriate organizational designs,,Autonomous Agents and Multi-Agent Systems,,16.0,2,10.1007/s10458-007-9020-y,Bryan HorlingVictor Lesser,2008,http://link.springer.com/article/10.1007/s10458-007-9020-y,Article
Systolic algorithms as programs,,Distributed Computing,,1.0,3,10.1007/BF01661171,K. Mani ChandyJ. Misra,1986,http://link.springer.com/article/10.1007/BF01661171,Article
ACME: A scalable parallel system for extracting frequent patterns from a very long sequence,,The VLDB Journal,,23.0,6,10.1007/s00778-014-0370-1,Majed SahliEssam MansourPanos Kalnis,2014,http://link.springer.com/article/10.1007/s00778-014-0370-1,Article
Estimating Effective Prefetch Distance in Threaded Prefetching for Linked Data Structures,,International Journal of Parallel Programming,,40.0,5,10.1007/s10766-012-0194-9,Yan HuangZhi-Min GuJie TangMin CaiJianxun ZhangNinghan Zheng,2012,http://link.springer.com/article/10.1007/s10766-012-0194-9,Article
Quantum entanglement as a new information processing resource,,New Generation Computing,,21.0,4,10.1007/BF03037304,Jozef Gruska,2003,http://link.springer.com/article/10.1007/BF03037304,Article
"Visualization, transformation, and analysis of execution traces with the eclipse TRACE4CPS trace tool",,International Journal on Software Tools for Technology Transfer,,26.0,1,10.1007/s10009-024-00736-3,Martijn HendriksJacques VerrietTwan Basten,2024,http://link.springer.com/article/10.1007/s10009-024-00736-3,Article
PRO-MOTION: Support for mobile database access,,Personal Technologies,,1.0,3,10.1007/BF01299651,Gary D. WalbornPanos K. Chrysanthis,1997,http://link.springer.com/article/10.1007/BF01299651,Article
The SQUID approach to defining a quality model,,Software Quality Journal,,6.0,3,10.1023/A:1018516103435,Barbara KitchenhamSteve LinkmanAlberto PasquiniVincenzo Nanni,1997,http://link.springer.com/article/10.1023/A%3A1018516103435,Article
Driving behavior analysis and classification by vehicle OBD data using machine learning,,The Journal of Supercomputing,,79.0,16,10.1007/s11227-023-05364-3,Raman kumarAnuj Jain,2023,http://link.springer.com/article/10.1007/s11227-023-05364-3,Article
A semantics for speech acts,,Annals of Mathematics and Artificial Intelligence,,8.0,2-Jan,10.1007/BF02451549,Munindar P. Singh,1993,http://link.springer.com/article/10.1007/BF02451549,Article
Backpropagation for Fully Connected Cascade Networks,,Neural Processing Letters,,46.0,1,10.1007/s11063-017-9588-4,Yiping Cheng,2017,http://link.springer.com/article/10.1007/s11063-017-9588-4,Article
A concurrent abstract interpreter,,LISP and Symbolic Computation,,7.0,3-Feb,10.1007/BF01018693,Stephen WeeksSuresh JagannathanJames Philbin,1994,http://link.springer.com/article/10.1007/BF01018693,Article
Dynamic thermal and IT resource management strategies for data center energy minimization,,Journal of Cloud Computing,,6.0,1,10.1186/s13677-017-0094-z,Lijun FuJianxiong WanJie YangDongdong CaoGefei Zhang,2017,http://link.springer.com/article/10.1186/s13677-017-0094-z,Article
Direct private query in location-based services with GPU run time analysis,,The Journal of Supercomputing,,71.0,2,10.1007/s11227-014-1309-4,Charles AsanyaRatan Guha,2015,http://link.springer.com/article/10.1007/s11227-014-1309-4,Article
The Design and Implementation of CoGaDB: A Column-oriented GPU-accelerated DBMS,,Datenbank-Spektrum,,14.0,3,10.1007/s13222-014-0164-z,Sebastian Breß,2014,http://link.springer.com/article/10.1007/s13222-014-0164-z,Article
A Loosely Coordinated Model for Heap-Based Priority Queues in Multicore Environments,,International Journal of Parallel Programming,,44.0,4,10.1007/s10766-015-0398-x,Giuliano LaccettiMarco LapegnaValeria Mele,2016,http://link.springer.com/article/10.1007/s10766-015-0398-x,Article
On specification of multiprocessor computing,,Acta Informatica,,27.0,8,10.1007/BF00264282,W. M. Turski,1990,http://link.springer.com/article/10.1007/BF00264282,Article
Accelerating Viterbi algorithm on graphics processing units,,Computing,,99.0,11,10.1007/s00607-017-0557-6,Muhammad Kashif HanifKarl-Heinz Zimmermann,2017,http://link.springer.com/article/10.1007/s00607-017-0557-6,Article
On the use of hybrid reinforcement learning for autonomic resource allocation,,Cluster Computing,,10.0,3,10.1007/s10586-007-0035-6,Gerald TesauroNicholas K. JongRajarshi DasMohamed N. Bennani,2007,http://link.springer.com/article/10.1007/s10586-007-0035-6,Article
Building a security reference architecture for cloud systems,,Requirements Engineering,,21.0,2,10.1007/s00766-014-0218-7,Eduardo B. FernandezRaul MongeKeiko Hashizume,2016,http://link.springer.com/article/10.1007/s00766-014-0218-7,Article
On the MHD boundary layer flow with diffusion and chemical reaction over a porous flat plate with suction/blowing: two reliable methods,,Engineering with Computers,,37.0,2,10.1007/s00366-019-00876-0,M. S. HashemiA. Akgül,2021,http://link.springer.com/article/10.1007/s00366-019-00876-0,Article
Experience Availability: Tail-Latency Oriented Availability in Software-Defined Cloud Computing,,Journal of Computer Science and Technology,,32.0,2,10.1007/s11390-017-1719-x,Bin-Lei CaiRong-Qi ZhangXiao-Bo ZhouLai-Ping ZhaoKe-Qiu Li,2017,http://link.springer.com/article/10.1007/s11390-017-1719-x,Article
A numerical method for fractional variable order pantograph differential equations based on Haar wavelet,,Engineering with Computers,,38.0,3,10.1007/s00366-020-01227-0,Hussam AlrabaiahIsrar AhmadRohul AminKamal Shah,2022,http://link.springer.com/article/10.1007/s00366-020-01227-0,Article
The Precautionary Approach Design Pattern,,Digital Society,,3.0,1,10.1007/s44206-024-00090-6,Tuomas Pöysti,2024,http://link.springer.com/article/10.1007/s44206-024-00090-6,Article
Christopher Strachey and the Cambridge CPL Compiler,,Higher-Order and Symbolic Computation,,13.0,2-Jan,10.1023/A:1010014110806,Martin Richards,2000,http://link.springer.com/article/10.1023/A%3A1010014110806,Article
